"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000000003.15","HAVANA","gene",NA,NA,"ENSG00000000003.15","protein_coding","TSPAN6","2","HGNC:11858","OTTHUMG00000022002.2"
"ENSG00000000005.6","HAVANA","gene",NA,NA,"ENSG00000000005.6","protein_coding","TNMD","2","HGNC:17757","OTTHUMG00000022001.2"
"ENSG00000000419.13","HAVANA","gene",NA,NA,"ENSG00000000419.13","protein_coding","DPM1","2","HGNC:3005","OTTHUMG00000032742.2"
"ENSG00000000457.14","HAVANA","gene",NA,NA,"ENSG00000000457.14","protein_coding","SCYL3","2","HGNC:19285","OTTHUMG00000035941.6"
"ENSG00000000460.17","HAVANA","gene",NA,NA,"ENSG00000000460.17","protein_coding","C1orf112","2","HGNC:25565","OTTHUMG00000035821.9"
"ENSG00000000938.13","HAVANA","gene",NA,NA,"ENSG00000000938.13","protein_coding","FGR","2","HGNC:3697","OTTHUMG00000003516.3"
"ENSG00000000971.16","HAVANA","gene",NA,NA,"ENSG00000000971.16","protein_coding","CFH","1","HGNC:4883","OTTHUMG00000035607.6"
"ENSG00000001036.14","HAVANA","gene",NA,NA,"ENSG00000001036.14","protein_coding","FUCA2","2","HGNC:4008","OTTHUMG00000015728.3"
"ENSG00000001084.13","HAVANA","gene",NA,NA,"ENSG00000001084.13","protein_coding","GCLC","1","HGNC:4311","OTTHUMG00000160220.13"
"ENSG00000001167.14","HAVANA","gene",NA,NA,"ENSG00000001167.14","protein_coding","NFYA","2","HGNC:7804","OTTHUMG00000014669.1"
"ENSG00000001460.18","HAVANA","gene",NA,NA,"ENSG00000001460.18","protein_coding","STPG1","2","HGNC:28070","OTTHUMG00000003297.4"
"ENSG00000001461.17","HAVANA","gene",NA,NA,"ENSG00000001461.17","protein_coding","NIPAL3","2","HGNC:25233","OTTHUMG00000003299.4"
"ENSG00000001497.18","HAVANA","gene",NA,NA,"ENSG00000001497.18","protein_coding","LAS1L","2","HGNC:25726","OTTHUMG00000021720.2"
"ENSG00000001561.7","HAVANA","gene",NA,NA,"ENSG00000001561.7","protein_coding","ENPP4","2","HGNC:3359","OTTHUMG00000014779.3"
"ENSG00000001617.12","HAVANA","gene",NA,NA,"ENSG00000001617.12","protein_coding","SEMA3F","2","HGNC:10728","OTTHUMG00000156806.9"
"ENSG00000001626.16","HAVANA","gene",NA,NA,"ENSG00000001626.16","protein_coding","CFTR","1","HGNC:1884","OTTHUMG00000023076.18"
"ENSG00000001629.10","HAVANA","gene",NA,NA,"ENSG00000001629.10","protein_coding","ANKIB1","2","HGNC:22215","OTTHUMG00000155859.3"
"ENSG00000001630.17","HAVANA","gene",NA,NA,"ENSG00000001630.17","protein_coding","CYP51A1","1","HGNC:2649","OTTHUMG00000193420.2"
"ENSG00000001631.16","HAVANA","gene",NA,NA,"ENSG00000001631.16","protein_coding","KRIT1","2","HGNC:1573","OTTHUMG00000131187.10"
"ENSG00000002016.18","HAVANA","gene",NA,NA,"ENSG00000002016.18","protein_coding","RAD52","2","HGNC:9824","OTTHUMG00000090361.6"
"ENSG00000002079.14","HAVANA","gene",NA,NA,"ENSG00000002079.14","transcribed_unitary_pseudogene","MYH16","1","HGNC:31038","OTTHUMG00000154426.5"
"ENSG00000002330.14","HAVANA","gene",NA,NA,"ENSG00000002330.14","protein_coding","BAD","1","HGNC:936","OTTHUMG00000134302.4"
"ENSG00000002549.12","HAVANA","gene",NA,NA,"ENSG00000002549.12","protein_coding","LAP3","2","HGNC:18449","OTTHUMG00000048214.7"
"ENSG00000002586.20","HAVANA","gene",NA,NA,"ENSG00000002586.20","protein_coding","CD99","2","HGNC:7082","OTTHUMG00000021073.12"
"ENSG00000002586.20_PAR_Y","HAVANA","gene",NA,NA,"ENSG00000002586.20_PAR_Y","protein_coding","CD99","2","HGNC:7082","OTTHUMG00000021073.12"
"ENSG00000002587.10","HAVANA","gene",NA,NA,"ENSG00000002587.10","protein_coding","HS3ST1","2","HGNC:5194","OTTHUMG00000090547.7"
"ENSG00000002726.21","HAVANA","gene",NA,NA,"ENSG00000002726.21","protein_coding","AOC1","2","HGNC:80","OTTHUMG00000158306.2"
"ENSG00000002745.13","HAVANA","gene",NA,NA,"ENSG00000002745.13","protein_coding","WNT16","2","HGNC:16267","OTTHUMG00000156963.2"
"ENSG00000002746.15","HAVANA","gene",NA,NA,"ENSG00000002746.15","protein_coding","HECW1","1","HGNC:22195","OTTHUMG00000128917.6"
"ENSG00000002822.15","HAVANA","gene",NA,NA,"ENSG00000002822.15","protein_coding","MAD1L1","1","HGNC:6762","OTTHUMG00000151493.7"
"ENSG00000002834.18","HAVANA","gene",NA,NA,"ENSG00000002834.18","protein_coding","LASP1","1","HGNC:6513","OTTHUMG00000133182.8"
"ENSG00000002919.15","HAVANA","gene",NA,NA,"ENSG00000002919.15","protein_coding","SNX11","2","HGNC:14975","OTTHUMG00000178822.2"
"ENSG00000002933.9","HAVANA","gene",NA,NA,"ENSG00000002933.9","protein_coding","TMEM176A","2","HGNC:24930","OTTHUMG00000158114.6"
"ENSG00000003056.8","HAVANA","gene",NA,NA,"ENSG00000003056.8","protein_coding","M6PR","1","HGNC:6752","OTTHUMG00000168276.4"
"ENSG00000003096.14","HAVANA","gene",NA,NA,"ENSG00000003096.14","protein_coding","KLHL13","2","HGNC:22931","OTTHUMG00000022252.4"
"ENSG00000003137.8","HAVANA","gene",NA,NA,"ENSG00000003137.8","protein_coding","CYP26B1","1","HGNC:20581","OTTHUMG00000129756.5"
"ENSG00000003147.19","HAVANA","gene",NA,NA,"ENSG00000003147.19","protein_coding","ICA1","2","HGNC:5343","OTTHUMG00000152008.11"
"ENSG00000003249.15","HAVANA","gene",NA,NA,"ENSG00000003249.15","protein_coding","DBNDD1","2","HGNC:28455","OTTHUMG00000138984.4"
"ENSG00000003393.15","HAVANA","gene",NA,NA,"ENSG00000003393.15","protein_coding","ALS2","2","HGNC:443","OTTHUMG00000154507.8"
"ENSG00000003400.15","HAVANA","gene",NA,NA,"ENSG00000003400.15","protein_coding","CASP10","2","HGNC:1500","OTTHUMG00000132818.5"
"ENSG00000003402.20","HAVANA","gene",NA,NA,"ENSG00000003402.20","protein_coding","CFLAR","1","HGNC:1876","OTTHUMG00000132819.20"
"ENSG00000003436.16","HAVANA","gene",NA,NA,"ENSG00000003436.16","protein_coding","TFPI","2","HGNC:11760","OTTHUMG00000132634.8"
"ENSG00000003509.16","HAVANA","gene",NA,NA,"ENSG00000003509.16","protein_coding","NDUFAF7","1","HGNC:28816","OTTHUMG00000128468.7"
"ENSG00000003756.17","HAVANA","gene",NA,NA,"ENSG00000003756.17","protein_coding","RBM5","1","HGNC:9902","OTTHUMG00000156785.9"
"ENSG00000003987.14","HAVANA","gene",NA,NA,"ENSG00000003987.14","protein_coding","MTMR7","2","HGNC:7454","OTTHUMG00000163771.4"
"ENSG00000003989.18","HAVANA","gene",NA,NA,"ENSG00000003989.18","protein_coding","SLC7A2","2","HGNC:11060","OTTHUMG00000130819.5"
"ENSG00000004059.11","HAVANA","gene",NA,NA,"ENSG00000004059.11","protein_coding","ARF5","2","HGNC:658","OTTHUMG00000023246.7"
"ENSG00000004139.14","HAVANA","gene",NA,NA,"ENSG00000004139.14","protein_coding","SARM1","1","HGNC:17074","OTTHUMG00000132499.47"
"ENSG00000004142.12","HAVANA","gene",NA,NA,"ENSG00000004142.12","protein_coding","POLDIP2","2","HGNC:23781","OTTHUMG00000132065.9"
"ENSG00000004399.13","HAVANA","gene",NA,NA,"ENSG00000004399.13","protein_coding","PLXND1","1","HGNC:9107","OTTHUMG00000159547.15"
"ENSG00000004455.17","HAVANA","gene",NA,NA,"ENSG00000004455.17","protein_coding","AK2","1","HGNC:362","OTTHUMG00000004131.7"
"ENSG00000004468.13","HAVANA","gene",NA,NA,"ENSG00000004468.13","protein_coding","CD38","2","HGNC:1667","OTTHUMG00000048206.6"
"ENSG00000004478.8","HAVANA","gene",NA,NA,"ENSG00000004478.8","protein_coding","FKBP4","2","HGNC:3720","OTTHUMG00000090429.4"
"ENSG00000004487.17","HAVANA","gene",NA,NA,"ENSG00000004487.17","protein_coding","KDM1A","1","HGNC:29079","OTTHUMG00000003220.7"
"ENSG00000004534.15","HAVANA","gene",NA,NA,"ENSG00000004534.15","protein_coding","RBM6","1","HGNC:9903","OTTHUMG00000156736.13"
"ENSG00000004660.15","HAVANA","gene",NA,NA,"ENSG00000004660.15","protein_coding","CAMKK1","2","HGNC:1469","OTTHUMG00000090725.3"
"ENSG00000004700.16","HAVANA","gene",NA,NA,"ENSG00000004700.16","protein_coding","RECQL","2","HGNC:9948","OTTHUMG00000169131.3"
"ENSG00000004766.17","HAVANA","gene",NA,NA,"ENSG00000004766.17","protein_coding","VPS50","2","HGNC:25956","OTTHUMG00000131733.6"
"ENSG00000004776.13","HAVANA","gene",NA,NA,"ENSG00000004776.13","protein_coding","HSPB6","2","HGNC:26511","OTTHUMG00000048122.5"
"ENSG00000004777.18","HAVANA","gene",NA,NA,"ENSG00000004777.18","protein_coding","ARHGAP33","1","HGNC:23085","OTTHUMG00000182071.4"
"ENSG00000004779.10","HAVANA","gene",NA,NA,"ENSG00000004779.10","protein_coding","NDUFAB1","1","HGNC:7694","OTTHUMG00000096985.6"
"ENSG00000004799.8","HAVANA","gene",NA,NA,"ENSG00000004799.8","protein_coding","PDK4","2","HGNC:8812","OTTHUMG00000153977.3"
"ENSG00000004809.14","HAVANA","gene",NA,NA,"ENSG00000004809.14","protein_coding","SLC22A16","2","HGNC:20302","OTTHUMG00000016171.5"
"ENSG00000004838.14","HAVANA","gene",NA,NA,"ENSG00000004838.14","protein_coding","ZMYND10","1","HGNC:19412","OTTHUMG00000156874.6"
"ENSG00000004846.16","HAVANA","gene",NA,NA,"ENSG00000004846.16","protein_coding","ABCB5","1","HGNC:46","OTTHUMG00000094789.7"
"ENSG00000004848.8","HAVANA","gene",NA,NA,"ENSG00000004848.8","protein_coding","ARX","2","HGNC:18060","OTTHUMG00000021275.5"
"ENSG00000004864.14","HAVANA","gene",NA,NA,"ENSG00000004864.14","protein_coding","SLC25A13","2","HGNC:10983","OTTHUMG00000023074.5"
"ENSG00000004866.22","HAVANA","gene",NA,NA,"ENSG00000004866.22","protein_coding","ST7","1","HGNC:11351","OTTHUMG00000023888.24"
"ENSG00000004897.12","HAVANA","gene",NA,NA,"ENSG00000004897.12","protein_coding","CDC27","2","HGNC:1728","OTTHUMG00000166429.8"
"ENSG00000004939.15","HAVANA","gene",NA,NA,"ENSG00000004939.15","protein_coding","SLC4A1","2","HGNC:11027","OTTHUMG00000156843.3"
"ENSG00000004948.16","HAVANA","gene",NA,NA,"ENSG00000004948.16","protein_coding","CALCR","2","HGNC:1440","OTTHUMG00000023599.7"
"ENSG00000004961.15","HAVANA","gene",NA,NA,"ENSG00000004961.15","protein_coding","HCCS","2","HGNC:4837","OTTHUMG00000021128.2"
"ENSG00000004975.12","HAVANA","gene",NA,NA,"ENSG00000004975.12","protein_coding","DVL2","2","HGNC:3086","OTTHUMG00000102155.5"
"ENSG00000005001.10","HAVANA","gene",NA,NA,"ENSG00000005001.10","protein_coding","PRSS22","1","HGNC:14368","OTTHUMG00000128961.3"
"ENSG00000005007.13","HAVANA","gene",NA,NA,"ENSG00000005007.13","protein_coding","UPF1","2","HGNC:9962","OTTHUMG00000183025.2"
"ENSG00000005020.13","HAVANA","gene",NA,NA,"ENSG00000005020.13","protein_coding","SKAP2","2","HGNC:15687","OTTHUMG00000023495.5"
"ENSG00000005022.6","HAVANA","gene",NA,NA,"ENSG00000005022.6","protein_coding","SLC25A5","2","HGNC:10991","OTTHUMG00000022715.3"
"ENSG00000005059.16","HAVANA","gene",NA,NA,"ENSG00000005059.16","protein_coding","MCUB","2","HGNC:26076","OTTHUMG00000161103.3"
"ENSG00000005073.6","HAVANA","gene",NA,NA,"ENSG00000005073.6","protein_coding","HOXA11","1","HGNC:5101","OTTHUMG00000023437.7"
"ENSG00000005075.15","HAVANA","gene",NA,NA,"ENSG00000005075.15","protein_coding","POLR2J","2","HGNC:9197","OTTHUMG00000150387.1"
"ENSG00000005100.13","HAVANA","gene",NA,NA,"ENSG00000005100.13","protein_coding","DHX33","1","HGNC:16718","OTTHUMG00000102041.3"
"ENSG00000005102.14","HAVANA","gene",NA,NA,"ENSG00000005102.14","protein_coding","MEOX1","2","HGNC:7013","OTTHUMG00000170513.3"
"ENSG00000005108.16","HAVANA","gene",NA,NA,"ENSG00000005108.16","protein_coding","THSD7A","2","HGNC:22207","OTTHUMG00000152346.5"
"ENSG00000005156.12","HAVANA","gene",NA,NA,"ENSG00000005156.12","protein_coding","LIG3","1","HGNC:6600","OTTHUMG00000128519.7"
"ENSG00000005175.10","HAVANA","gene",NA,NA,"ENSG00000005175.10","protein_coding","RPAP3","2","HGNC:26151","OTTHUMG00000169668.3"
"ENSG00000005187.12","HAVANA","gene",NA,NA,"ENSG00000005187.12","protein_coding","ACSM3","1","HGNC:10522","OTTHUMG00000131552.7"
"ENSG00000005189.20","HAVANA","gene",NA,NA,"ENSG00000005189.20","protein_coding","REXO5","1","HGNC:24661","OTTHUMG00000131556.5"
"ENSG00000005194.15","HAVANA","gene",NA,NA,"ENSG00000005194.15","protein_coding","CIAPIN1","1","HGNC:28050","OTTHUMG00000133457.8"
"ENSG00000005206.17","HAVANA","gene",NA,NA,"ENSG00000005206.17","protein_coding","SPPL2B","2","HGNC:30627","OTTHUMG00000180443.10"
"ENSG00000005238.20","HAVANA","gene",NA,NA,"ENSG00000005238.20","protein_coding","FAM214B","2","HGNC:25666","OTTHUMG00000019847.6"
"ENSG00000005243.10","HAVANA","gene",NA,NA,"ENSG00000005243.10","protein_coding","COPZ2","2","HGNC:19356","OTTHUMG00000178684.6"
"ENSG00000005249.13","HAVANA","gene",NA,NA,"ENSG00000005249.13","protein_coding","PRKAR2B","2","HGNC:9392","OTTHUMG00000137418.2"
"ENSG00000005302.19","HAVANA","gene",NA,NA,"ENSG00000005302.19","protein_coding","MSL3","2","HGNC:7370","OTTHUMG00000021132.13"
"ENSG00000005339.15","HAVANA","gene",NA,NA,"ENSG00000005339.15","protein_coding","CREBBP","1","HGNC:2348","OTTHUMG00000129431.7"
"ENSG00000005379.17","HAVANA","gene",NA,NA,"ENSG00000005379.17","protein_coding","TSPOAP1","2","HGNC:16831","OTTHUMG00000178923.5"
"ENSG00000005381.8","HAVANA","gene",NA,NA,"ENSG00000005381.8","protein_coding","MPO","2","HGNC:7218","OTTHUMG00000178922.3"
"ENSG00000005421.9","HAVANA","gene",NA,NA,"ENSG00000005421.9","protein_coding","PON1","2","HGNC:9204","OTTHUMG00000153894.4"
"ENSG00000005436.14","HAVANA","gene",NA,NA,"ENSG00000005436.14","protein_coding","GCFC2","1","HGNC:1317","OTTHUMG00000129989.5"
"ENSG00000005448.17","HAVANA","gene",NA,NA,"ENSG00000005448.17","protein_coding","WDR54","1","HGNC:25770","OTTHUMG00000129951.4"
"ENSG00000005469.12","HAVANA","gene",NA,NA,"ENSG00000005469.12","protein_coding","CROT","1","HGNC:2366","OTTHUMG00000023653.5"
"ENSG00000005471.19","HAVANA","gene",NA,NA,"ENSG00000005471.19","protein_coding","ABCB4","2","HGNC:45","OTTHUMG00000023396.20"
"ENSG00000005483.21","HAVANA","gene",NA,NA,"ENSG00000005483.21","protein_coding","KMT2E","2","HGNC:18541","OTTHUMG00000157403.5"
"ENSG00000005486.17","HAVANA","gene",NA,NA,"ENSG00000005486.17","protein_coding","RHBDD2","1","HGNC:23082","OTTHUMG00000156435.5"
"ENSG00000005513.10","HAVANA","gene",NA,NA,"ENSG00000005513.10","protein_coding","SOX8","2","HGNC:11203","OTTHUMG00000122101.4"
"ENSG00000005700.15","HAVANA","gene",NA,NA,"ENSG00000005700.15","protein_coding","IBTK","2","HGNC:17853","OTTHUMG00000015102.3"
"ENSG00000005801.18","HAVANA","gene",NA,NA,"ENSG00000005801.18","protein_coding","ZNF195","1","HGNC:12986","OTTHUMG00000011694.10"
"ENSG00000005810.18","HAVANA","gene",NA,NA,"ENSG00000005810.18","protein_coding","MYCBP2","2","HGNC:23386","OTTHUMG00000017105.5"
"ENSG00000005812.11","HAVANA","gene",NA,NA,"ENSG00000005812.11","protein_coding","FBXL3","1","HGNC:13599","OTTHUMG00000017099.6"
"ENSG00000005844.19","HAVANA","gene",NA,NA,"ENSG00000005844.19","protein_coding","ITGAL","1","HGNC:6148","OTTHUMG00000176964.5"
"ENSG00000005882.12","HAVANA","gene",NA,NA,"ENSG00000005882.12","protein_coding","PDK2","1","HGNC:8810","OTTHUMG00000161948.18"
"ENSG00000005884.18","HAVANA","gene",NA,NA,"ENSG00000005884.18","protein_coding","ITGA3","2","HGNC:6139","OTTHUMG00000161890.7"
"ENSG00000005889.16","HAVANA","gene",NA,NA,"ENSG00000005889.16","protein_coding","ZFX","2","HGNC:12869","OTTHUMG00000021264.2"
"ENSG00000005893.16","HAVANA","gene",NA,NA,"ENSG00000005893.16","protein_coding","LAMP2","2","HGNC:6501","OTTHUMG00000022301.5"
"ENSG00000005961.19","HAVANA","gene",NA,NA,"ENSG00000005961.19","protein_coding","ITGA2B","2","HGNC:6138","OTTHUMG00000177935.5"
"ENSG00000005981.13","HAVANA","gene",NA,NA,"ENSG00000005981.13","protein_coding","ASB4","2","HGNC:16009","OTTHUMG00000153960.8"
"ENSG00000006007.12","HAVANA","gene",NA,NA,"ENSG00000006007.12","protein_coding","GDE1","2","HGNC:29644","OTTHUMG00000131454.7"
"ENSG00000006015.18","HAVANA","gene",NA,NA,"ENSG00000006015.18","protein_coding","REX1BD","1","HGNC:26098","OTTHUMG00000183112.1"
"ENSG00000006016.11","HAVANA","gene",NA,NA,"ENSG00000006016.11","protein_coding","CRLF1","2","HGNC:2364","OTTHUMG00000183111.3"
"ENSG00000006025.12","HAVANA","gene",NA,NA,"ENSG00000006025.12","protein_coding","OSBPL7","2","HGNC:16387","OTTHUMG00000178288.2"
"ENSG00000006042.12","HAVANA","gene",NA,NA,"ENSG00000006042.12","protein_coding","TMEM98","2","HGNC:24529","OTTHUMG00000132882.5"
"ENSG00000006047.13","HAVANA","gene",NA,NA,"ENSG00000006047.13","protein_coding","YBX2","2","HGNC:17948","OTTHUMG00000177992.3"
"ENSG00000006059.4","HAVANA","gene",NA,NA,"ENSG00000006059.4","protein_coding","KRT33A","2","HGNC:6450","OTTHUMG00000133432.2"
"ENSG00000006062.17","HAVANA","gene",NA,NA,"ENSG00000006062.17","protein_coding","MAP3K14","2","HGNC:6853","OTTHUMG00000180364.13"
"ENSG00000006071.15","HAVANA","gene",NA,NA,"ENSG00000006071.15","protein_coding","ABCC8","2","HGNC:59","OTTHUMG00000166316.33"
"ENSG00000006116.4","HAVANA","gene",NA,NA,"ENSG00000006116.4","protein_coding","CACNG3","2","HGNC:1407","OTTHUMG00000131651.1"
"ENSG00000006118.15","HAVANA","gene",NA,NA,"ENSG00000006118.15","protein_coding","TMEM132A","1","HGNC:31092","OTTHUMG00000167803.2"
"ENSG00000006125.18","HAVANA","gene",NA,NA,"ENSG00000006125.18","protein_coding","AP2B1","1","HGNC:563","OTTHUMG00000179924.5"
"ENSG00000006128.12","HAVANA","gene",NA,NA,"ENSG00000006128.12","protein_coding","TAC1","2","HGNC:11517","OTTHUMG00000154069.4"
"ENSG00000006194.10","HAVANA","gene",NA,NA,"ENSG00000006194.10","protein_coding","ZNF263","1","HGNC:13056","OTTHUMG00000129323.4"
"ENSG00000006210.7","HAVANA","gene",NA,NA,"ENSG00000006210.7","protein_coding","CX3CL1","1","HGNC:10647","OTTHUMG00000133469.6"
"ENSG00000006282.21","HAVANA","gene",NA,NA,"ENSG00000006282.21","protein_coding","SPATA20","2","HGNC:26125","OTTHUMG00000162162.5"
"ENSG00000006283.18","HAVANA","gene",NA,NA,"ENSG00000006283.18","protein_coding","CACNA1G","2","HGNC:1394","OTTHUMG00000162180.8"
"ENSG00000006327.14","HAVANA","gene",NA,NA,"ENSG00000006327.14","protein_coding","TNFRSF12A","2","HGNC:18152","OTTHUMG00000129001.2"
"ENSG00000006377.11","HAVANA","gene",NA,NA,"ENSG00000006377.11","protein_coding","DLX6","2","HGNC:2919","OTTHUMG00000154201.7"
"ENSG00000006432.15","HAVANA","gene",NA,NA,"ENSG00000006432.15","protein_coding","MAP3K9","1","HGNC:6861","OTTHUMG00000171249.3"
"ENSG00000006451.8","HAVANA","gene",NA,NA,"ENSG00000006451.8","protein_coding","RALA","2","HGNC:9839","OTTHUMG00000128775.5"
"ENSG00000006453.14","HAVANA","gene",NA,NA,"ENSG00000006453.14","protein_coding","BAIAP2L1","2","HGNC:21649","OTTHUMG00000165117.2"
"ENSG00000006459.11","HAVANA","gene",NA,NA,"ENSG00000006459.11","protein_coding","KDM7A","2","HGNC:22224","OTTHUMG00000157327.2"
"ENSG00000006468.14","HAVANA","gene",NA,NA,"ENSG00000006468.14","protein_coding","ETV1","1","HGNC:3490","OTTHUMG00000152403.7"
"ENSG00000006530.18","HAVANA","gene",NA,NA,"ENSG00000006530.18","protein_coding","AGK","2","HGNC:21869","OTTHUMG00000157499.2"
"ENSG00000006534.16","HAVANA","gene",NA,NA,"ENSG00000006534.16","protein_coding","ALDH3B1","2","HGNC:410","OTTHUMG00000154910.7"
"ENSG00000006555.11","HAVANA","gene",NA,NA,"ENSG00000006555.11","protein_coding","TTC22","1","HGNC:26067","OTTHUMG00000009916.4"
"ENSG00000006576.16","HAVANA","gene",NA,NA,"ENSG00000006576.16","protein_coding","PHTF2","2","HGNC:13411","OTTHUMG00000155557.3"
"ENSG00000006606.9","HAVANA","gene",NA,NA,"ENSG00000006606.9","protein_coding","CCL26","2","HGNC:10625","OTTHUMG00000130403.2"
"ENSG00000006607.14","HAVANA","gene",NA,NA,"ENSG00000006607.14","protein_coding","FARP2","1","HGNC:16460","OTTHUMG00000151574.5"
"ENSG00000006611.17","HAVANA","gene",NA,NA,"ENSG00000006611.17","protein_coding","USH1C","2","HGNC:12597","OTTHUMG00000166323.3"
"ENSG00000006625.18","HAVANA","gene",NA,NA,"ENSG00000006625.18","protein_coding","GGCT","1","HGNC:21705","OTTHUMG00000128593.3"
"ENSG00000006634.8","HAVANA","gene",NA,NA,"ENSG00000006634.8","protein_coding","DBF4","2","HGNC:17364","OTTHUMG00000131034.7"
"ENSG00000006638.13","HAVANA","gene",NA,NA,"ENSG00000006638.13","protein_coding","TBXA2R","2","HGNC:11608","OTTHUMG00000180806.3"
"ENSG00000006652.15","HAVANA","gene",NA,NA,"ENSG00000006652.15","protein_coding","IFRD1","1","HGNC:5456","OTTHUMG00000155124.8"
"ENSG00000006659.13","HAVANA","gene",NA,NA,"ENSG00000006659.13","protein_coding","LGALS14","2","HGNC:30054","OTTHUMG00000183143.3"
"ENSG00000006695.12","HAVANA","gene",NA,NA,"ENSG00000006695.12","protein_coding","COX10","2","HGNC:2260","OTTHUMG00000058814.4"
"ENSG00000006704.11","HAVANA","gene",NA,NA,"ENSG00000006704.11","protein_coding","GTF2IRD1","1","HGNC:4661","OTTHUMG00000023782.4"
"ENSG00000006712.15","HAVANA","gene",NA,NA,"ENSG00000006712.15","protein_coding","PAF1","2","HGNC:25459","OTTHUMG00000182968.3"
"ENSG00000006715.16","HAVANA","gene",NA,NA,"ENSG00000006715.16","protein_coding","VPS41","1","HGNC:12713","OTTHUMG00000023629.8"
"ENSG00000006740.17","HAVANA","gene",NA,NA,"ENSG00000006740.17","protein_coding","ARHGAP44","1","HGNC:29096","OTTHUMG00000058765.6"
"ENSG00000006744.19","HAVANA","gene",NA,NA,"ENSG00000006744.19","protein_coding","ELAC2","1","HGNC:14198","OTTHUMG00000058764.16"
"ENSG00000006747.15","HAVANA","gene",NA,NA,"ENSG00000006747.15","protein_coding","SCIN","1","HGNC:21695","OTTHUMG00000152385.5"
"ENSG00000006756.16","HAVANA","gene",NA,NA,"ENSG00000006756.16","protein_coding","ARSD","1","HGNC:717","OTTHUMG00000021077.4"
"ENSG00000006757.12","HAVANA","gene",NA,NA,"ENSG00000006757.12","protein_coding","PNPLA4","2","HGNC:24887","OTTHUMG00000021103.3"
"ENSG00000006788.14","HAVANA","gene",NA,NA,"ENSG00000006788.14","protein_coding","MYH13","2","HGNC:7571","OTTHUMG00000177987.6"
"ENSG00000006831.10","HAVANA","gene",NA,NA,"ENSG00000006831.10","protein_coding","ADIPOR2","1","HGNC:24041","OTTHUMG00000130139.3"
"ENSG00000006837.12","HAVANA","gene",NA,NA,"ENSG00000006837.12","protein_coding","CDKL3","1","HGNC:15483","OTTHUMG00000186341.3"
"ENSG00000007001.13","HAVANA","gene",NA,NA,"ENSG00000007001.13","protein_coding","UPP2","2","HGNC:23061","OTTHUMG00000131969.3"
"ENSG00000007038.11","HAVANA","gene",NA,NA,"ENSG00000007038.11","protein_coding","PRSS21","2","HGNC:9485","OTTHUMG00000128931.3"
"ENSG00000007047.15","HAVANA","gene",NA,NA,"ENSG00000007047.15","protein_coding","MARK4","2","HGNC:13538","OTTHUMG00000181769.3"
"ENSG00000007062.12","HAVANA","gene",NA,NA,"ENSG00000007062.12","protein_coding","PROM1","1","HGNC:9454","OTTHUMG00000160180.6"
"ENSG00000007080.11","HAVANA","gene",NA,NA,"ENSG00000007080.11","protein_coding","CCDC124","2","HGNC:25171","OTTHUMG00000183405.3"
"ENSG00000007129.18","HAVANA","gene",NA,NA,"ENSG00000007129.18","protein_coding","CEACAM21","2","HGNC:28834","OTTHUMG00000151062.9"
"ENSG00000007168.14","HAVANA","gene",NA,NA,"ENSG00000007168.14","protein_coding","PAFAH1B1","2","HGNC:8574","OTTHUMG00000177574.8"
"ENSG00000007171.18","HAVANA","gene",NA,NA,"ENSG00000007171.18","protein_coding","NOS2","2","HGNC:7873","OTTHUMG00000132445.3"
"ENSG00000007174.18","HAVANA","gene",NA,NA,"ENSG00000007174.18","protein_coding","DNAH9","1","HGNC:2953","OTTHUMG00000130383.9"
"ENSG00000007202.15","HAVANA","gene",NA,NA,"ENSG00000007202.15","protein_coding","KIAA0100","1","HGNC:28960","OTTHUMG00000166587.7"
"ENSG00000007216.15","HAVANA","gene",NA,NA,"ENSG00000007216.15","protein_coding","SLC13A2","2","HGNC:10917","OTTHUMG00000132523.2"
"ENSG00000007237.19","HAVANA","gene",NA,NA,"ENSG00000007237.19","protein_coding","GAS7","2","HGNC:4169","OTTHUMG00000177945.15"
"ENSG00000007255.10","HAVANA","gene",NA,NA,"ENSG00000007255.10","protein_coding","TRAPPC6A","1","HGNC:23069","OTTHUMG00000181775.1"
"ENSG00000007264.15","HAVANA","gene",NA,NA,"ENSG00000007264.15","protein_coding","MATK","1","HGNC:6906","OTTHUMG00000180916.6"
"ENSG00000007306.15","HAVANA","gene",NA,NA,"ENSG00000007306.15","protein_coding","CEACAM7","2","HGNC:1819","OTTHUMG00000151063.4"
"ENSG00000007312.13","HAVANA","gene",NA,NA,"ENSG00000007312.13","protein_coding","CD79B","2","HGNC:1699","OTTHUMG00000172294.3"
"ENSG00000007314.12","HAVANA","gene",NA,NA,"ENSG00000007314.12","protein_coding","SCN4A","2","HGNC:10591","OTTHUMG00000179046.2"
"ENSG00000007341.19","HAVANA","gene",NA,NA,"ENSG00000007341.19","protein_coding","ST7L","2","HGNC:18441","OTTHUMG00000011753.8"
"ENSG00000007350.17","HAVANA","gene",NA,NA,"ENSG00000007350.17","protein_coding","TKTL1","1","HGNC:11835","OTTHUMG00000022707.9"
"ENSG00000007372.24","HAVANA","gene",NA,NA,"ENSG00000007372.24","protein_coding","PAX6","1","HGNC:8620","OTTHUMG00000041447.26"
